1,,2,,3,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.)
8.131062508,197.3804321,8.165208817,216.3760681,8.199375153,230.5545044
8.253541946,196.6906433,8.286874771,216.0184784,8.321063042,229.0048828
8.375208855,196.2995911,8.40856266,214.5523224,8.442708015,228.8071289
8.496062279,194.5322876,8.530208588,213.4732513,8.564374924,227.8023834
8.62020874,194.0715637,8.653562546,215.5501404,8.687708855,227.1199951
8.743562698,193.7810364,8.776874542,214.5132446,8.811062813,227.4356689
8.866895676,193.5849915,8.900208473,211.1411743,8.934374809,226.5913849
8.990229607,194.2670593,9.023562431,210.8108063,9.057728767,225.4941254
9.111063004,193.6304016,9.145208359,211.6073761,9.178562164,226.1891022
9.234375,192.3904114,9.268625259,212.2776184,9.301896095,226.1611176
9.357708931,193.7953491,9.391895294,209.5855255,9.425208092,224.7552795
9.479395866,190.1783447,9.513541222,211.2181091,9.546895027,223.2913971
9.602707863,190.4940796,9.636896133,212.5467682,9.670208931,224.5768738
9.726041794,190.0514221,9.759395599,209.9151611,9.793541908,223.6157074
9.849395752,191.2754211,9.882708549,210.2548218,9.916895866,223.6598969
9.970209122,191.2327271,10.00439548,210.8777618,10.03854179,222.697937
10.09187508,191.1018982,10.12604141,210.1114197,10.15939522,222.6214142
10.21520805,187.8320923,10.24939537,208.7866058,10.28270912,222.8084869
10.33687496,187.7160034,10.37020874,208.6998901,10.4043951,221.740799
10.46020794,187.9124451,10.49354172,207.7582703,10.52687454,222.1656342
10.58270836,186.8768311,10.61604214,207.1192932,10.65020847,221.2730255
10.70520878,186.8227234,10.7385416,208.2600555,10.77270794,221.5612183
10.82604122,187.7151489,10.86020851,208.6387329,10.89354134,221.2012634
10.94939613,188.5144958,10.98270893,209.0806274,11.01604176,219.3334503
11.07187462,188.8967285,11.10604191,206.583313,11.13939571,221.7210541
11.19520855,186.855835,11.22854233,206.9539032,11.26270866,220.4724884
11.31854153,188.4356384,11.35189629,206.7670593,11.38606262,220.5281525
11.44104195,186.1315613,11.47439575,208.4563293,11.50854206,218.6706085
11.56187534,187.0933228,11.59604168,206.3560638,11.62939548,220.1811676
11.68270874,185.8150635,11.71687508,205.7166748,11.75020885,219.3049469
11.8060627,185.8840332,11.83937454,207.2889252,11.87270832,219.4493103
11.92612553,185.4032593,11.95939541,207.0656281,11.9935627,220.0721588
12.04854107,184.9546204,12.08189583,204.3865967,12.11520767,218.3399658
12.17104149,183.5610352,12.20439529,206.3287659,12.23770809,218.2152557
12.29356289,183.655426,12.32689571,205.4234924,12.36022949,217.9795227
12.41354179,185.7448425,12.44772911,206.6643066,12.48106289,218.1035461
12.53439522,183.3095398,12.567729,204.4363708,12.60189629,218.4156952
12.65689564,183.7268066,12.69022942,206.2433472,12.72356224,217.1987152
12.77689648,182.9066162,12.81106281,205.9629211,12.84439564,219.0031738
12.89939594,183.381134,12.93272877,203.9444122,12.96606255,216.6316986
13.0210619,183.0511169,13.05439568,205.1988678,13.08856201,218.4581146
13.14356327,181.5331421,13.1768961,205.2339172,13.21022987,216.7677002
13.26522923,180.9380188,13.298563,203.2536011,13.33189583,216.6138458
