1,,2,,3,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.)
16.53531265,8.516440392,16.56866646,8.268667221,16.60283279,7.712931633
16.6578331,8.61633873,16.69116592,8.374172211,16.72449875,7.803132057
16.77783394,8.534118652,16.81200027,8.043545723,16.8453331,7.045194626
16.89866638,8.329283714,16.93283272,8.137388229,16.96616554,7.582715988
17.02199936,8.315732002,17.05533409,7.954879761,17.08866501,7.790755272
17.1420002,8.465442657,17.17616653,8.167647362,17.20949936,7.583029747
17.26449966,8.490268707,17.29783249,8.174420357,17.33116722,7.766943932
17.38699913,8.94858551,17.42033195,8.344906807,17.4545002,7.730855942
17.5094986,8.503598213,17.54283333,8.195731163,17.57616615,7.841118813
17.63116646,8.766756058,17.66449928,8.250144958,17.69783401,7.440377712
17.75116539,8.760411263,17.78533363,8.29401207,17.81866646,7.390704632
17.87283325,8.713115692,17.90616608,8.22842598,17.93950081,7.526704311
17.99533272,8.833643913,18.02866554,8.148742676,18.06200027,7.676117897
18.11783218,8.795244217,18.15116501,8.102293968,18.18449974,7.563361645
18.23783302,8.841191292,18.27199936,8.128504753,18.30533218,7.650820255
18.36116791,8.635810852,18.39450073,8.439255714,18.42783356,7.826314449
18.48116684,8.723794937,18.51533318,8.264970779,18.54866791,7.471218586
18.60199928,8.569115639,18.63533401,8.49752903,18.66866684,7.51553154
18.72199821,8.450893402,18.75533295,8.254716873,18.78866577,7.64144516
18.84200096,8.796121597,18.87616539,8.382876396,18.90949821,7.568470955
18.9628334,8.754249573,18.99616623,8.33223629,19.03033257,7.822527409
19.08366776,8.699767113,19.11700058,8.233166695,19.15035439,7.575073242
19.20618629,8.626891136,19.23952103,8.342995644,19.27285385,7.634521008
19.32618904,8.944663048,19.36035347,8.327178001,19.39368629,7.601075649
19.44702148,8.78840065,19.48118782,8.314704895,19.51452065,7.641271591
19.57035255,8.764526367,19.60368729,8.279234886,19.63702011,7.850375175
19.6903553,8.880764961,19.72368813,8.275365829,19.75785255,7.583405495
19.81285477,8.730016708,19.84618759,8.280857086,19.87952042,7.403577328
19.93535423,8.99691391,19.96868706,8.676005363,20.00201988,7.840865135
20.05702019,8.803200722,20.09035492,8.5616436,20.12368774,7.675796032
20.17868614,8.88436985,20.21201897,8.536367416,20.2453537,7.635741711
20.29868698,8.679039001,20.33285332,8.40913868,20.36618614,7.591086864
20.41952133,8.73825264,20.45289421,8.528226852,20.48706245,7.580448627
20.54206276,8.79774189,20.57539749,8.567454338,20.60873032,7.703683376
20.66456223,8.364075661,20.69789696,8.641436577,20.73122978,7.651188374
20.78456306,8.576960564,20.8187294,8.404075623,20.85206223,7.649365902
20.90539551,8.734438896,20.93872833,8.465680122,20.97206306,7.626980782
21.02789497,8.731760979,21.0612278,8.455756187,21.09456253,7.9362216
