1,,2,,3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
6.681895733,16.86260796,6.716041565,12.6061821,6.749395847,11.56557178,
6.805208206,16.61876869,6.838562489,12.7465744,6.872708321,11.28205109,
6.928562641,16.40942574,6.961874962,12.42897797,6.996041775,11.4283638,
7.049375057,16.64102936,7.08354187,12.45855141,7.117708206,11.26735115,
7.173541546,16.80199432,7.206875324,12.60378647,7.24104166,11.31710625,
7.294374943,17.14462471,7.328541756,12.28761292,7.362729549,11.35370731,
7.416041374,16.48479462,7.450229168,12.1167717,7.483541965,11.23662376,
7.537729263,16.65376282,7.571875095,12.29113674,7.605229378,11.34599018,
7.661041737,16.71501541,7.694375038,12.1142149,7.728562355,11.58501053,
7.781875134,16.66566658,7.81604147,12.36588192,7.849374771,11.32500172,
7.905229092,16.43984985,7.938541889,12.45615292,7.972729206,11.14865494,
8.026041985,16.43752289,8.060229301,12.09037685,8.094374657,11.15633011,
8.14772892,16.3800602,8.181875229,12.16452503,8.216041565,11.23938465,
8.269374847,16.54558372,8.303541183,12.12239552,8.336895943,11.12224197,
8.392728806,16.26757622,8.426875114,12.34915733,8.46022892,11.19138432,
8.516041756,16.53437805,8.549375534,12.35992622,8.58354187,10.99148083,
8.638541222,16.47374725,8.671895027,12.2253828,8.706041336,11.21784401,
8.759374619,16.3027668,8.793562889,12.51039982,8.826874733,11.36084461,
8.88272953,16.48996735,8.916042328,12.57054329,8.950228691,11.18615055,
9.003541946,16.41961098,9.037729263,12.37962627,9.071062088,11.15610027,
9.126874924,16.10112953,9.160229683,12.24480057,9.193541527,10.94726467,
9.249375343,16.1516819,9.282729149,12.42415142,9.316875458,11.27377415,
9.370228767,16.05153847,9.404375076,12.22817039,9.437728882,11.03193283,
9.493562698,16.26757813,9.527729034,12.16768074,9.561040878,11.15554523,
9.616875648,16.37041855,9.6502285,12.09043503,9.684374809,11.09229374,
9.739375114,16.65801239,9.772729874,11.97371006,9.806041718,11.01401138,
9.861875534,16.16980743,9.89522934,12.31350613,9.928542137,11.18747997,
9.984395027,16.50062561,10.01772881,12.03374481,10.0510416,10.89702988,
10.10439587,16.4701004,10.1385622,12.36912155,10.171875,10.99714279,
10.22522926,16.45659828,10.25856209,11.80486774,10.29272842,10.91119194,
10.34772968,16.14002609,10.38189602,12.19847298,10.41522884,11.13315105,
10.46856308,16.15819359,10.50272942,12.22598267,10.53606224,11.0146904,
10.59106255,16.27485275,10.62439537,12.07339382,10.65772915,10.96665478,
10.71356201,15.99234486,10.74689579,12.26490784,10.78022861,11.02195358,
10.83606243,16.28273582,10.86939621,12.15165806,10.90272903,11.2305479,
10.95689583,16.03218269,10.99022961,12.20949459,11.02356243,10.91580486,
11.07856274,16.69034195,11.11189556,11.92491055,11.14522934,10.99765778,
11.20022869,16.03231812,11.23356247,12.60937977,11.26689529,11.21033478,
11.32022953,16.23308563,11.35356236,11.95985317,11.38772869,10.94258118,
11.44112587,16.1312294,11.47439575,12.2503109,11.50856209,10.74907017,
11.56356239,16.3812809,11.59689522,11.98265076,11.630229,10.73915195,
11.68356228,15.92131519,11.71772861,11.78504562,11.75106239,10.93504238,
11.80522823,16.24858093,11.83856201,11.96268654,11.8727293,11.21832943,
11.92606163,16.22979736,11.96022987,12.34538174,11.9935627,10.95422077,
12.04689503,16.24135399,12.08022881,11.80021667,12.11356163,10.68306923,
12.1693964,15.99521351,12.20272923,12.14219093,12.236063,11.23320675,
12.29106236,16.07377052,12.32439613,12.03734303,12.35856247,11.19987488,
12.41356182,16.61639595,12.4468956,12.2988615,12.48022842,11.24380875,
12.6185627,16.02973938,12.65189648,11.70236397,12.6852293,10.84111214,
12.73856163,16.06406212,12.77272987,12.1163702,12.80608273,11.08742237,
12.86024952,16.22704506,12.8935833,11.99299145,12.92691612,11.04187679,
12.98275089,15.98772812,13.01608372,11.80131626,13.0494175,10.72488117,
13.10274982,15.97892857,13.13691711,12.07645226,13.17025089,10.71456242,
