    53000.0000  -1.144638   0.288256  -0.856382  6  7  0.37  0.37 
    53500.0000  -1.122384   0.268932  -0.853451  5  7  0.34  0.37 
    54000.0000  -1.223096   0.263575  -0.959521  5  9  0.38  0.36 
    54500.0000  -1.235541   0.268232  -0.967309  6  9  0.37  0.38 
    55000.0000  -1.253848   0.303286  -0.950562  6  8  0.37  0.38 
    55500.0000  -1.250137   0.308426  -0.941711  6  9  0.35  0.36 
    56000.0000  -1.166684   0.327757  -0.838927  6  9  0.40  0.35 
    56500.0000  -1.252034   0.313185  -0.938849  5  9  0.38  0.35 
    57000.0000  -1.265918   0.307605  -0.958313  6  9  0.36  0.37 
    57500.0000  -1.217693   0.276664  -0.941029  6  8  0.39  0.39 
    58000.0000  -1.214647   0.289619  -0.925028  6  7  0.38  0.36 
    58500.0000  -1.299894   0.320282  -0.979612  6  9  0.39  0.36 
    59000.0000  -1.143718   0.289658  -0.854061  6  9  0.39  0.36 
    59500.0000  -1.162020   0.331724  -0.830296  5  9  0.37  0.36 
    60000.0000  -1.227862   0.285850  -0.942012  5  9  0.39  0.38 
    60500.0000  -1.189857   0.294516  -0.895340  6  8  0.38  0.36 
    61000.0000  -1.269413   0.335674  -0.933739  6  8  0.39  0.37 
    61500.0000  -1.234660   0.324135  -0.910526  6  9  0.38  0.36 
    62000.0000  -1.161499   0.334084  -0.827415  6  8  0.39  0.34 
    62500.0000  -1.130609   0.273718  -0.856891  5  9  0.38  0.34 
    63000.0000  -1.136968   0.263320  -0.873648  5  8  0.38  0.37 
    63500.0000  -1.211139   0.257594  -0.953545  6  9  0.37  0.38 
    64000.0000  -1.191216   0.284454  -0.906762  6  9  0.37  0.37 
    64500.0000  -1.205424   0.300243  -0.905181  5  8  0.35  0.38 
    65000.0000  -1.208588   0.319786  -0.888803  6  9  0.36  0.38 
    65500.0000  -1.072346   0.272890  -0.799455  5  8  0.37  0.38 
    66000.0000  -1.135778   0.277740  -0.858039  2 11  0.37  0.38 
    66500.0000  -1.283218   0.257943  -1.025275  3 11  0.37  0.36 
    67000.0000  -1.188045   0.333185  -0.854859  3 11  0.37  0.34 
    67500.0000  -1.262373   0.278960  -0.983413  3 11  0.37  0.38 
    68000.0000  -1.253728   0.304905  -0.948823  3 11  0.37  0.37 
    68500.0000  -1.106456   0.245972  -0.860483  4 10  0.38  0.37 
    69000.0000  -1.181566   0.276459  -0.905107  3 11  0.37  0.38 
    69500.0000  -1.187780   0.260544  -0.927236  3 10  0.40  0.37 
    70000.0000  -1.243232   0.334166  -0.909066  6  9  0.36  0.35 
    70500.0000  -1.230687   0.280616  -0.950071  6  9  0.36  0.38 
    71000.0000  -1.246729   0.280284  -0.966445  6  8  0.40  0.37 
    71500.0000  -1.261054   0.326775  -0.934279  6  9  0.37  0.37 
    72000.0000  -1.181741   0.320120  -0.861621  5  8  0.40  0.39 
    72500.0000  -1.248455   0.245120  -1.003335  6  9  0.39  0.35 
    73000.0000  -1.199169   0.271236  -0.927933  6  8  0.39  0.36 
    73500.0000  -1.181990   0.310402  -0.871588  5  8  0.39  0.38 
    74000.0000  -1.254804   0.282228  -0.972576  6  8  0.39  0.39 
    74500.0000  -1.220881   0.304394  -0.916486  6  6  0.37  0.36 
    75000.0000  -1.201599   0.261694  -0.939904  6  9  0.35  0.36 
    75500.0000  -1.230000   0.243733  -0.986267  6  7  0.38  0.38 
    76000.0000  -1.236140   0.289588  -0.946552  5  8  0.36  0.35 
    76500.0000  -1.185842   0.309888  -0.875954  6  8  0.41  0.38 
    77000.0000  -1.134286   0.300282  -0.834004  6  9  0.38  0.36 
    77500.0000  -1.127177   0.352921  -0.774256  6  9  0.39  0.36 
    78000.0000  -1.179673   0.310622  -0.869051  6  8  0.38  0.39 
    78500.0000  -1.234380   0.285646  -0.948734  6  9  0.38  0.38 
    79000.0000  -1.212670   0.325732  -0.886938  5  8  0.39  0.36 
    79500.0000  -1.178301   0.300978  -0.877323  6  8  0.39  0.34 
    80000.0000  -1.227535   0.326977  -0.900558  6  7  0.38  0.37 
    80500.0000  -1.071709   0.248138  -0.823571  5  8  0.39  0.37 
    81000.0000  -1.236832   0.302405  -0.934427  6  8  0.36  0.37 
    81500.0000  -1.139554   0.273498  -0.866057  5  9  0.38  0.37 
    82000.0000  -1.095759   0.341421  -0.754338  5  8  0.37  0.36 
    82500.0000  -1.208027   0.338683  -0.869343  5  8  0.36  0.37 
    83000.0000  -1.165370   0.297718  -0.867652  6  9  0.37  0.37 
    83500.0000  -1.239115   0.335343  -0.903771  6  8  0.37  0.36 
    84000.0000  -1.090749   0.335551  -0.755199  6  9  0.35  0.35 
    84500.0000  -1.121011   0.261544  -0.859467  6  9  0.37  0.35 
    85000.0000  -1.158299   0.312013  -0.846286  5  8  0.38  0.36 
    85500.0000  -1.226193   0.317368  -0.908826  6  8  0.37  0.39 
    86000.0000  -1.189727   0.293042  -0.896686  6  9  0.39  0.38 
    86500.0000  -1.284920   0.300967  -0.983953  6  9  0.38  0.37 
    87000.0000  -1.183538   0.303912  -0.879626  5  7  0.37  0.38 
    87500.0000  -1.261938   0.333543  -0.928395  6  9  0.41  0.36 
    88000.0000  -1.242772   0.246057  -0.996716  6  9  0.36  0.36 
